id arrive_date	arrive_time	destination_airport_code distance origin_airport_code price
1  04.10.2023   09.10.2023  ACM                      110      YAG                 22.16
2  05.10.2023   10.10.2023  ATR                      214      KFY                 70.11
3  06.10.2023   07.10.2023  BCG                      117      CGS                 34.96
4  11.10.2023   12.10.2023  MCY                      690      WYH                 112.74
5  21.10.2023   22.10.2023  JDY                      111      PEM                 33.66
6  17.10.2023   16.10.2023  OAS                      344      JDY                 48.25
7  10.11.2023   11.11.2023  YAG                      149      OAS                 73.44
8  17.11.2023   19.11.2023  PEM                      150      MCY                 75.50
8  05.11.2023   06.11.2023  WYH                      205      BCG                 66.54
9  04.11.2023   05.11.2023  CGS                      311      ATR                 89.26
10 28.11.2023   30.11.2023  KFY                      277      ACM	              74.18

